Unnamed: 0,algorithm,policy,workload_type,avg_cpu_actual,avg_cpu_predicted,avg_solar_pv,energy_consumed_wh,green_energy_wh,grid_energy_wh,geuf_percentage,data_type,dataset
0,TempoSight,GREEN_OBLIVIOUS,LARGE,38.04134804397013,42.95956,0.13286491975438,471.1860661978656,113.17424840661876,358.0118177912468,25.598150394019772,machine_averaged,Alibaba_LARGE
1,TempoSight,NAIVE_CARBON_AWARE,LARGE,40.43608908346236,40.00893,0.1170471261317431,481.9624008755806,105.9881035347248,375.9742973408558,21.833009661546917,machine_averaged,Alibaba_LARGE
2,TempoSight,PREDICTIVE_CARBON_AWARE,LARGE,38.20033497346748,43.086395,0.1441425346825554,471.9015073806036,117.6352363969061,354.2662709836975,26.38715794700694,machine_averaged,Alibaba_LARGE
0,TempoSight,GREEN_OBLIVIOUS,MEDIUM,30.194693562304987,30.58298,0.0873442546322964,260.38938712461,57.93428702715312,202.4551000974569,22.33195844817835,machine_averaged,Alibaba_MEDIUM
1,TempoSight,NAIVE_CARBON_AWARE,MEDIUM,32.06767242333103,32.03026,0.1684527097334812,264.13534484666206,73.60064803857406,190.534696808088,28.11725824916955,machine_averaged,Alibaba_MEDIUM
2,TempoSight,PREDICTIVE_CARBON_AWARE,MEDIUM,31.954001142989224,32.338287,0.1754562889361194,263.9080022859784,74.52448399015624,189.38351829582217,28.570955628643443,machine_averaged,Alibaba_MEDIUM
0,TempoSight,GREEN_OBLIVIOUS,SMALL,20.46052391085537,20.840975,0.3793637796246403,110.23026195542768,70.69059833855611,39.539663616871564,64.10619337800034,machine_averaged,Alibaba_SMALL
1,TempoSight,NAIVE_CARBON_AWARE,SMALL,26.09427271635765,26.112766,0.7075359230800439,113.04713635817882,86.53824829231779,26.508888065861026,76.90932983375872,machine_averaged,Alibaba_SMALL
2,TempoSight,PREDICTIVE_CARBON_AWARE,SMALL,26.05580705583098,26.38954,0.7048269480860317,113.02790352791548,86.1154569629703,26.912446564945185,76.55522843461199,machine_averaged,Alibaba_SMALL
0,TempoSight,GREEN_OBLIVIOUS,LARGE,12.759182663690476,40.302734,0.0,357.4163219866071,0.0,357.4163219866071,0.0,machine_averaged,BB_LARGE
1,TempoSight,NAIVE_CARBON_AWARE,LARGE,51.57305555555556,50.7,0.3126233896211083,532.07875,206.1440518401952,325.9346981598047,34.363748429204435,machine_averaged,BB_LARGE
2,TempoSight,PREDICTIVE_CARBON_AWARE,LARGE,16.760388082837302,67.75586,0.2781663395779188,375.4217463727678,140.8574689884227,234.56427738434516,36.04175476946515,machine_averaged,BB_LARGE
0,TempoSight,GREEN_OBLIVIOUS,MEDIUM,9.335796875,30.126953,0.0,218.67159375,0.0,218.67159375,0.0,machine_averaged,BB_MEDIUM
1,TempoSight,NAIVE_CARBON_AWARE,MEDIUM,44.22680555555556,42.784374,0.3482572557955281,288.45361111111106,120.95494873393424,167.49866237717688,37.280231662689175,machine_averaged,BB_MEDIUM
2,TempoSight,PREDICTIVE_CARBON_AWARE,MEDIUM,14.748963758680556,62.94043,0.2916108810209131,229.4979275173611,90.1461716729445,139.3517558444166,37.48350909207196,machine_averaged,BB_MEDIUM
0,TempoSight,GREEN_OBLIVIOUS,SMALL,7.535480800653595,20.0625,0.0,103.7677404003268,0.0,103.7677404003268,0.0,machine_averaged,BB_SMALL
1,TempoSight,NAIVE_CARBON_AWARE,SMALL,35.90046296296296,33.179688,0.4603407261185739,117.95023148148148,60.117006491124165,57.83322499035732,49.054771010787285,machine_averaged,BB_SMALL
2,TempoSight,PREDICTIVE_CARBON_AWARE,SMALL,13.560098447712416,58.066177,0.357221196028365,106.7800492238562,47.34448960874796,59.43555961510825,43.19408366907509,machine_averaged,BB_SMALL
